id,grid
250311,CQ96
250323,CE81
250536,CU47
250537,CU47
250801,CE76
251262,CQ81
251277,CM56
252076,CG82
252607,CT52
253332,CH101
253466,CR74
253471,CR74
253475,CR73
253548,CN130
253590,CO51
253623,CT45
253800,CR74
253803,CR74
253806,CR74
253811,CR74
253815,CR73
253828,CR74
253839,CR73
253842,CR74
253846,CR74
254131,DH69
254168,CR73
254409,CO94
255024,DB86
255476,CR83
255601,CS90
255957,CG80
256078,CZ71
256328,CD70
256369,CG91
257097,CQ94
257568,DJ95
257787,CS82
258284,CP92
258397,CI97
258686,ER85
258688,CC72
258690,CD70
258740,CT44
258838,BM126
258876,BL127
259946,BM126
260451,CM90
260765,CS62
261194,CR93
261259,CD76
261344,CA85
261674,CE72
261781,CD75
262343,CH80
262405,CU107
262478,CH80
262583,CD75
263005,CK88
263190,CI78
263232,CT43
263502,CQ80
263776,CZ70
263888,CK53
264323,CQ47
265036,CR98
265064,DJ95
265145,CI64
265506,CO65
265831,CG79
265912,CQ81
266146,CL56
266155,CL57
266351,CM92
266437,CE72
266449,CH80
266756,CF80
267376,CE84
267435,DR75
267535,DV16
267652,CL108
267708,CT54
268392,CR51
268481,CV81
268868,CD68
269283,CX100
269889,CS70
270139,CY86
270231,DD71
270315,CX91
270345,CG78
270680,CO83
270681,CP83
271083,CP103
271128,CS91
271130,CR92
271694,CL68
271950,CN64
271954,CF75
272026,CY29
272044,CI79
272427,CQ77
272706,CL90
272738,CQ85
273190,CD75
273256,CW51
274062,CR50
274329,DB85
274376,CO94
274743,CR60
275976,CV92
276216,CH102
276317,CM95
276482,CQ46
277207,CP77
277370,CI76
277883,CR103
278090,CV53
278145,DA61
278631,CC74
278876,CR98
279093,CU40
279857,CQ93
279969,DA94
280315,CT97
281521,CD73
281756,CQ75
281851,CS48
282341,CL108
282443,CG81
282514,CY94
282863,CH94
282977,CJ97
283072,DQ95
283090,CK78
283184,CR84
283272,CS82
283550,CG65
284208,CK100
284855,CB75
285442,CH76
285492,CE71
285716,DC88
286662,CR98
286838,CQ48
287397,CX91
287408,CG65
287417,DA94
287421,CE92
287481,CU84
287839,CJ91
287845,CF94
289020,CI76
289037,CG93
289288,CH78
289665,CD77
289703,CE78
289958,CX68
289995,CR80
290457,CF82
291524,CH60
291714,CT97
291812,DB62
292047,CD73
292121,CI64
292266,DC88
292637,CP97
293004,CR49
293837,CU84
294227,CR74
294239,CY64
294242,CR73
294250,CK59
294259,CR73
294263,CQ74
294280,CR73
294297,CO83
294353,CR85
294490,CR73
294717,CR83
295231,CS84
295379,CN81
295998,CN54
296345,CU83
296361,DN74
296658,CP100
296717,CR91
296844,CQ81
297611,CM90
297962,CN85
298073,CQ81
298759,CT92
298854,CT81
299062,CR61
299078,CD78
299531,DI99
299699,CP78
301034,CR48
302057,CN108
302758,CW52
303345,CT52
303462,CI58
304799,CK60
305211,CP82
306702,CL92
306799,DA84
309342,CL54
310220,CQ77
310272,BI115
310325,CT42
310338,CT42
310524,CP90
310796,CL56
311003,CQ96
311343,CU54
311356,DC86
312429,CO97
313890,CG79
314982,CI76
316238,CS90
317838,CC75
317905,CK108
318021,CR49
318187,CZ85
319724,CO82
319798,BY111
319844,CP76
320865,CT48
320876,CJ100
320877,CP82
321014,CJ75
321136,CT38
322037,CQ80
322604,CR80
322974,CD73
323706,CJ58
324115,CP82
324517,CP59
324800,CT82
325429,CR59
326832,CQ60
326956,CO92
327521,CH78
327778,CK72
328040,CJ69
328693,CN55
328744,CP100
329064,CP111
329310,CG81
329385,CZ26
333189,CO83
333323,CG65
334607,CP82
334781,CV40
335797,CT110
335819,CT110
335820,CT110
336220,CR50
339456,CO52
341525,CF66
341982,CJ59
342027,CR59
342965,CH62
342995,CU46
343276,CG66
343971,CS39
344019,CC76
344068,CG72
344092,BY108
346248,CE77
346805,CH80
347865,CJ79
349841,CO81
350168,CJ95
350525,CR98
351530,CL97
351859,CG69
352651,CS102
352864,CT57
353317,CH82
354095,CK76
355106,CP102
356230,CQ98
357509,CN67
359982,CV85
360400,CH71
361803,CS59
363320,CR51
363673,CM50
364275,CW85
364785,CK95
367042,CS99
367810,CQ73
369411,CQ83
369567,CO97
369671,CK77
371138,CV78
373618,CQ79
374548,CW92
375249,AK116
377217,CK57
378460,CH67
380416,CJ97
380730,CR125
382523,CS49
382524,CS49
385190,DB25
385657,CX86
385824,DB21
386555,BI114
386744,CP62
386799,CL65
387324,CJ72
387377,CR50
387666,CU38
387735,CJ74
389482,ED83
391948,DU92
391955,CD92
392948,CN84
393016,CH65
393094,CA85
393682,CF79
394026,CR80
394111,ED83
394235,CH72
396636,CU39
397034,CJ57
397297,CJ78
397420,CU41
398281,CQ56
398283,CJ101
399946,CH79
400039,CX86
400466,CO102
401579,CG95
401836,CQ63
402037,CQ50
403056,CS53
403264,CH71
403668,CK77
404502,CO84
404923,CK106
405025,CW67
405408,CE80
406926,CG79
406992,CT83
407469,DB91
408491,CF75
408983,CP102
409262,CH92
409293,CS53
409666,CR132
411336,CF79
411525,CO82
411918,CT98
412061,CQ97
412180,CT90
413504,CT82
413775,CO66
413876,CB85
414801,CO92
415304,CI76
416557,CT79
417685,CK99
418291,CK76
419373,CU91
419792,CI81
421554,CV92
422040,CJ58
424192,CF67
424667,CG64
424767,CJ71
424889,CD76
424930,CO96
425784,CJ86
428226,CQ96
430427,CU38
430665,CO53
431865,CV38
432090,CT70
433218,CM95
433414,CN93
433914,DL104
434792,CH97
435774,CB85
435776,CR60
435909,CD73
435946,CA84
436510,CO83
436619,CH78
436824,CT41
436916,CU41
437352,CH98
437906,CK77
438513,CP102
439750,CU82
439870,CJ99
442636,DF87
442649,CE70
443646,CL55
444171,CY91
444430,CZ46
446367,CK59
447766,CK73
447840,CO83
448048,DM68
448049,DH69
449034,CR81
449130,CU44
449660,CL106
449680,DG45
450009,DF113
450577,CK60
450578,BZ109
450905,CJ97
452068,CM108
452541,CJ102
453094,CO92
453161,CS79
453255,CI80
453317,CR91
454334,CU45
454763,DA26
454929,CJ76
455734,CZ25
455801,CR49
456110,CF70
456190,CC75
456457,CD75
456526,CU44
457829,CH76
458154,CT85
458377,CU87
459066,CR63
460036,CJ72
460999,CS45
461050,CP81
462454,CH81
463107,CV98
464231,CR91
465277,CR96
466277,CT83
466457,CV91
467569,CI79
467634,ER95
467866,CC76
468613,CG79
470090,CG79
470370,CS100
470498,CA83
470709,CR80
471712,CQ48
471758,CB79
471845,CU94
471914,CP102
472052,CH61
472376,CO95
472546,DD90
473592,CU69
473777,CU82
474283,CI63
475216,CH100
476527,CJ77
476570,CJ76
476571,CJ76
476899,CI77
476983,CT41
478053,CG83
478385,CK71
478832,CE96
478949,CD72
479002,CN92
479263,CQ80
479285,DB70
479867,CQ81
480549,CH61
481022,CJ80
482365,CG67
482765,CK91
483414,CS92
483485,CC83
483505,CN84
484297,CO92
484312,CI102
484728,BV119
485026,CI95
486350,CR84
488083,CH101
489018,CI78
489365,CQ81
489924,CF101
489965,CW53
490011,CE93
490278,CO67
490989,CJ94
491123,CN97
491529,CL97
491942,CM54
491977,CE82
493177,CH81
493611,CI95
494296,CE92
494937,CD79
495249,DI67
495348,CK91
496166,CJ99
497370,CG95
498052,CO82
498120,DT25
498859,CO130
500845,CK77
500886,CX91
501041,CK56
501082,CU42
501098,CT82
501693,CO52
502132,CE73
