ID,cnt_shared,price_shared
34760,9,89.11111111
35526,8,115.625
36121,7,92.85714286
36133,48,77.41666667
36442,7,92.85714286
36647,14,94.14285714
36703,22,145.7272727
36934,61,89.18032787
38638,22,100.7727273
38663,5,110.8
39267,22,165.1818182
39282,50,112.02
39593,8,61.25
39704,16,75.125
40039,6,156.6666667
40453,10,91.5
41348,17,81.82352941
41513,36,72.05555556
42580,7,95
42729,4,84.75
42882,4,45.5
43957,21,52.66666667
44096,5,54
44161,27,97.03703704
44212,51,105.1960784
44221,12,88.08333333
44229,14,81.85714286
44288,14,309.0714286
44506,13,84.23076923
45393,22,145.7272727
45542,33,66.21212121
45556,8,84.125
45910,3,86.66666667
45936,7,102.2857143
45940,46,90.91304348
46544,20,96.7
46723,16,76.3125
46911,10,86.3
47199,24,101.5416667
47362,19,133
47370,26,111.6538462
47926,8,129.25
48719,55,102.8363636
50447,9,55.22222222
51438,22,165.1818182
51485,45,136.4
51572,45,132.4
51850,4,53.25
53137,53,105.1886792
53196,53,72.30188679
53469,0,0
53470,3,86.66666667
53477,0,0
54158,55,80.69090909
54453,55,116.3090909
54466,44,97.61363636
54508,35,85.71428571
54544,20,94.85
54626,5,54
54860,33,74.84848485
55467,8,89.125
55498,20,56.55
55668,4,118.25
55737,16,129.1875
55959,65,77.89230769
55982,23,85.30434783
56467,57,106.9122807
56525,24,93.83333333
56859,21,79.28571429
57166,5,88
57297,7,74.71428571
57468,57,106.9122807
57618,55,116.3090909
57740,17,112.4705882
57754,8,107.25
57874,36,102.1388889
58059,25,66.92
58062,6,83
58467,18,63.88888889
59014,53,100.3962264
59121,3,86.66666667
59642,16,96.5
59709,29,95.03448276
59855,10,172.1
60164,8,168.375
60457,5,142.2
60611,32,82.34375
60666,21,79.28571429
60673,32,85.3125
60680,49,160.9591837
60794,59,76.3220339
60948,19,125.0526316
61167,53,107.0377358
61224,20,123.45
61406,54,79.35185185
61492,50,91.88
61509,8,89.375
62095,22,49.45454546
62427,54,109.5
62430,27,58.77777778
62452,7,40.85714286
62461,1,37
62787,7,40.85714286
62891,51,105.1960784
62903,8,166.375
62925,23,80.2173913
63299,65,77.89230769
63320,7,40.85714286
63360,9,265.2222222
63546,6,48.16666667
63573,18,72.27777778
63588,4,71.25
63610,1,45
63657,19,133
63693,62,98.93548387
63719,31,63.48387097
63913,13,81.15384615
64000,26,84.61538462
64015,57,106.9122807
64107,18,61.94444444
64277,16,75.125
64314,30,72.63333333
64365,30,72.63333333
64707,14,98
64837,62,98.93548387
65019,8,110.125
65268,31,63.48387097
65556,61,89.18032787
65562,41,96.09756098
65615,59,113.3050847
65660,65,85.16923077
65813,36,66.80555556
65834,1,50
66008,3,106.6666667
66026,15,66.66666667
66251,57,106.9122807
66275,34,111.4705882
66451,65,92.15384615
66718,54,90.2037037
66741,16,98.0625
66974,5,72.4
67288,34,83.08823529
67299,61,89.18032787
67397,7,102.2857143
68099,50,101.52
68305,49,66.6122449
68403,8,63.25
68735,8,116.875
68765,8,103.875
68900,23,80.2173913
68974,53,107.0377358
69894,8,110.125
69921,44,58.38636364
70095,13,81.15384615
70128,23,118.4347826
70609,53,146.6603774
71010,10,69.5
71248,25,103.28
71366,25,116.12
71384,24,93.83333333
71812,4,68.5
72190,12,199
72265,15,74.73333333
74073,73,92.32876712
74240,55,80.69090909
74333,19,125.0526316
74404,44,97.61363636
74680,3,89.66666667
74860,23,74.34782609
75193,34,79.76470588
75635,53,100.3962264
76761,12,89.41666667
77765,9,228.6666667
77936,53,105.1886792
78919,4,85.75
79067,27,84.88888889
79782,26,84.61538462
80493,52,143.6538462
80684,9,228.6666667
80700,9,171.2222222
80924,10,77.2
81739,9,228.6666667
82549,1,100
82550,2,84.5
82638,31,106.3870968
82928,24,98.75
83243,34,57.70588235
83446,7,75.57142857
83722,55,80.69090909
83847,51,105.1960784
84010,9,228.6666667
84059,20,65.8
84659,54,109.5
84905,29,94.03448276
85094,10,173.8
86215,55,102.8363636
89427,13,78.46153846
89621,16,76.3125
93313,31,78.77419355
94035,10,56.4
94209,20,65.8
94477,28,61.78571429
94783,29,62
95747,50,112.02
95883,17,66.29411765
96471,27,84.88888889
98330,9,112.4444444
98663,45,132.4
99070,34,72.88235294
99085,23,85.30434783
100002,11,68.90909091
100184,3,52
100186,11,75.90909091
101053,65,92.15384615
102995,7,131.1428571
103161,46,90.91304348
103311,9,171.2222222
103806,46,112.4782609
105469,2,97.5
105510,15,66.66666667
106363,4,74.75
106647,21,73.80952381
107630,24,93.83333333
107895,10,134.6
110739,6,109.6666667
112100,14,73.21428571
112304,38,89.57894737
112359,12,107.5
112435,9,89.11111111
113265,25,71.72
113945,32,149.9375
114123,12,89.41666667
114229,34,111.4705882
114969,14,131.9285714
115535,70,77.62857143
115678,31,73.87096774
115748,19,75.05263158
116940,25,71.72
117425,7,99.57142857
118061,34,61.32352941
118430,3,161.6666667
118680,41,98.85365854
120362,42,71.78571429
121687,55,80.69090909
121861,10,77.2
123784,25,113.6
125053,8,134.25
125163,61,57.80327869
125594,6,54.83333333
126443,17,112.4705882
126816,25,91.32
127387,12,71.75
128975,21,79.28571429
131154,26,76.19230769
132516,0,0
132570,2,114
132695,36,77.30555556
133025,19,119.6315789
134934,55,80.69090909
135393,11,42.36363636
135465,23,85.30434783
